id,text,option_a,option_b,option_c,correct_index,explanation
28,Wie lange dauerte der legendäre Spontan-Lacher?,<10 Sek.,10–60 Sek.,>60 Sek.,1,Der Lacher war 10-60 Sekunden lang.
29,Welche drei Fragen darf man NIE in Live-Q stellen?,Alle drei (Einkommen/Ex/Spiel echt?),Nur A & B,Nur B & C,0,Diese drei sind tabu.
30,Peinlichste Freundschafts-Minute on-air — wie viele Zuhörer schauten stumm zu?,<1.000,1.000–10.000,>10.000,1,1000-10k Zuhörer waren betroffen.
31,Wer beantwortet die 'Dumme Frage des Monats' am ernsthaftesten?,Huebi,Zeo,,0,Huebi nimmt Dummfragen ernst.
32,Beschreibt den perfekten Fan in drei Worten — welche Beschreibung gewinnt?,Loyal laut kreativ,Frech meme-versiert schüchtern,Kostümiert laut emotional,0,Der perfekte Fan ist loyal laut und kreativ.
33,Wieviel ml hat die geheime Zutat im 'Einer von den Guten'-Cocktail?,5–15 ml,15–40 ml,40–100 ml,0,Die Zutat ist sparsam dosiert.
34,Welcher Flop bekam den größten viralen Push (Streams Woche 1)?,<5.000,5.000–100.000,>100.000,1,Selbst Flops werden viral.
35,Habt ihr ein Ritual vor Aufnahmen?,Ja kleines Ritual (High-Five Bier Joke),Nein nie,Manchmal nur bei Tours,2,Rituale nur auf Tours.
36,Wer würde im Survival-Szenario überleben?,Huebi,Zeo,Gleiche Überlebenszeit,1,Zeo ist der bessere Survivor.
37,Wie viele Leute waren beim kuriosen Backstage-Moment dabei?,1–5,6–20,>20,1,6-20 Personen beim Moment.
38,Welches Meme wäre das Kronjuwel im Meme-Museum?,Zeo vs. Bier Collage,Huebi-Face Print,Andi500-Legend,0,Das Zeo vs. Bier Meme ist kultiger.
39,Welches Promo-Foto gewinnt 'Most Iconic Awkward'?,Live-Selfie (Huebi mit Bier),Gestellte Promo (übertrieben),Blurry Backstage,0,Das Live-Selfie mit Bier ist ikonisch.
40,Wer weint heimlich öfter bei Fan-Danksagungen?,Huebi,Zeo,Keiner von beiden,0,Huebi ist emotional bei Danksagungen.
41,Welche königliche Pflicht wäre für Zeo am peinlichsten?,Morgendliche Parade in Unterhose,Offizielle Rede über Bier-Etikette,Zeremonielles Kuchenessen,1,Die Bier-Rede wäre für Zeo peinlich.
42,Dümmste Fan-Hypothese — wie viel Prozent halten sie für plausibel?,<5%,5–25%,<25%,0,Weniger als 5% halten sie für plausibel.
43,Was würdet ihr eher opfern: Podcast für 1 Jahr oder Socials für 1 Jahr?,Podcast,Socials,Keins — beides nicht,1,Sie würden eher Socials opfern.
44,Wie lange dauerte das synchronste Lachen (viral clip)?,<10 Sek.,10–60 Sek.,>60 Sek.,1,Synchrones Lachen 10-60 Sekunden.
45,Wie viele Meme errät ein Host in 90 Sek. beim Live-Impro?,0–3,4–10,>10,1,4-10 Memes pro 90 Sekunden.
46,Welcher fiktive Episoden-Plot gewinnt?,Roadtrip: 'Tourchaos & Autopanne',Krimi: 'Wer klaute das Bier?',Sci-Fi: 'Zeo & Huebi im Jahr 3000',0,Der Roadtrip-Plot wäre am besten.
47,Wie viele persönliche DMs bekamen die Hosts nach der emotionalen Folge?,<100,100–1.000,>1.000,1,100-1000 DMs nach emotionalen Folgen.
48,Welcher von drei dümmsten Hypes wurde am meisten nachgeahmt?,Käse im Schuh,Vorhaut & Bienen,Zeo vs. Bier,2,Zeo vs. Bier Hype ist zeitlos.
49,'Huebi's Küchenkatastrophen' — wöchentlich oder Special?,Wöchentlich,Nur Special,,1,Es gibt nur gelegentliche Specials.
50,Meta: Was wollen neue Hörer nach 3 Folgen wissen?,Sind die wirklich so peinlich/offen?,Welche Folge ist der beste Einstieg?,Welche Running-Gags muss ich kennen?,0,Neue Hörer fragen sich ob die Hosts echt so sind.
